Class	Continent1	Continent2	Country1	Country2	Country3	Family	funfact	Genus	git_url	HEIGHT	HEIGHT_IN_INCH	Infraclass	Kingdom	LENGTH	Life Span	name	Order	Phylum	Population size	POPULATION STATUS	Population Trend	SPECIES	SPEED_IN_MPH	Subclass	Subfamily	Subgenus	Suborder	Superorder	TOP SPEED	Tribe	url	WEIGHT	WEIGHT_IN_OZ	WEIGHT_IN_POUND	WINGSPAN
Aves						Accipitridae	 The local name of Martial eagles in South Africa is lammervanger (or â€œlamb catcherâ€).	Polemaetus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Martial-Eagle.jpg	50-60 cm	30.71-37.8 inches	Neognathae	Animalia	78-96 cm	14-25 yrs	Martial Eagle	Accipitriformes	Chordata	"30,000"	Vulnerable (VU)	Decreasing	Polemaetus bellicosus	100.04 miles/hr	Neornithes	Buteoninae	Licmetis	Alcedini	Neoaves	161 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/OpYTNlolAdYfmMjUzFPK.jpg	3-6 kg	105.82-211.64 oz	6.61-13.23 pounds	188-260 cm
Aves						Accipitridae	" The Red-shouldered hawk is a member of the genus Buteo, a group of medium-sized raptors with robust bodies and broad wings. Members of this genus are known as buzzards in Europe, but hawks in North America."	Buteo	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Red-Shouldered-Hawk.jpg	60 cm	14.96-24.02 inches	Neognathae	Animalia	38-61 cm	20-25 yrs	Red-Shouldered Hawk	Accipitriformes	Chordata	"100,000-1.1M"	Least Concern (LC)	Increasing	Buteo lineatus	34.18 miles/hr	Neornithes	Carduelinae	Licmetis	Alcedini	Neoaves	55 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/OdLjesoG6e4FVQvxJHk2.jpg	550-700 g	19.4-24.69 oz	1.21-1.54 pounds	90-127 cm
Aves						Accipitridae	" The specific name of the White-bellied sea eagle is derived from the Ancient Greek leuko- 'white', and gaster 'belly'."	Haliaeetus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/White-Bellied-Sea-Eagle.jpg	60 cm	25.98-35.43 inches	Neognathae	Animalia	66-90 cm	30 yrs	White-Bellied Sea Eagle	Accipitriformes	Chordata	"1,000-10,000"	Least Concern (LC)	Decreasing	Haliaeetus leucogaster	43.5 miles/hr	Neornithes	Carduelinae	Licmetis	Alcedini	Neoaves	70 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/white-bellied-sea-eagle-17.jpg	1.8-4.5 kg	63.49-158.73 oz	3.97-9.92 pounds	1.8-2.2 m
Aves						Accipitridae	 Wedge-tailed eagles are one of the largest eagles in the world. They have the largest wingspan ever verified for an eagle.	Aquila	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Wedge-Tailed-Eagle.jpg	50-60 cm	31.89-41.73 inches	Neognathae	Animalia	81-106 cm	20-40 yrs	Wedge-Tailed Eagle	Accipitriformes	Chordata	Unknown	Least Concern (LC)	Increasing	Aquila audax	48.47 miles/hr	Neornithes	Buteoninae	Licmetis	Alcedini	Neoaves	78 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/wedge-tailed-eagle-aquila-audax-2.jpg	2-5.8 kg	70.55-204.59 oz	4.41-12.79 pounds	182-232 cm
Aves						Accipitridae	50 vultures can within 20 minutes reduce a sheep or impala carcass to skin and bones.	Gyps	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Griffon-Vulture.jpg	180 cm	36.61-48.03 inches	Neognathae	Animalia	93-122 cm	41.4 yrs	Griffon Vulture	Accipitriformes	Chordata	Unknown	Least Concern (LC)	Increasing	Gyps fulvus	46.6 miles/hr	Neornithes	Aegypiinae			Neoaves	75 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/vautour.jpg	6-11 kg	211.64-388.01 oz	13.23-24.25 pounds	2.3-2.8 m
Aves						Accipitridae	"A Bald eagle has approximately 7,000 feathers. When it loses a feather on one wing, it will also lose a matching feather on the other wing to keep balance."	Haliaeetus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Bald-Eagle.jpg	100-120 cm	27.56-40.16 inches	Neognathae	Animalia	70-102 cm	28-36 yrs	Bald Eagle	Accipitriformes	Chordata	"70,000"	Least Concern (LC)	Increasing	Haliaeetus leucocephalus	74.56 miles/hr	Neornithes	Aegypiinae			Neoaves	120 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/eagle-on-the-rock.jpg	3-6.3 kg	105.82-222.23 oz	6.61-13.89 pounds	1.8-2.3 m
Aves						Accipitridae	A rare instance has been recorded when the Brahminy kite was feeding on honey at the hive of Dwarf honey bees.	Haliastur	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Brahminy-Kite.jpg	60 cm	17.72-20.08 inches	Neognathae	Animalia	45-51 cm	30 yrs	Brahminy Kite	Accipitriformes	Chordata	"over 100,000"	Least Concern (LC)	Decreasing	Haliastur indus	129.87 miles/hr	Neornithes	Carduelinae	Licmetis	Alcedini	Neoaves	209 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/wzxjhBNr2mgKaDjN4yJH.JPG	320-670 g	11.29-23.63 oz	0.71-1.48 pounds	109-124 cm
Aves						Accipitridae	"Common buzzards are famous for the way they capture moles. They stare at the ground and, as soon as the soil moves, they suddenly fly off their perch to capture the mole without hesitation. Most of the prey is captured once it has been visually located while flying low in a circling flight, sometimes after searching from an altitude of around 100 meters."	Buteo	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Common-Buzzard.jpg	150-190 cm	15.75-22.83 inches	Neognathae	Animalia	40-58 cm	25 yrs	Common Buzzard	Accipitriformes	Chordata	"2,1-3,7 Mln"	Least Concern (LC)	Stable	Buteo buteo	24.85 miles/hr	Neornithes	Aegypiinae		Alcedini	Neoaves	40 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/common-buzzard-catalonia-spain-mg-5442.jpg	"427-1,364 g"	15.06-48.11 oz	0.94-3.01 pounds	109-136 cm
Aves						Accipitridae	"Egyptian vultures are one of the very few species that use tools. To crack open big thick-shelled eggs like ostrich eggs, an Egyptian vulture will walk up to hundreds of meters to find a rock which it throws in a characteristic manner at the egg to break it so it can eat the contents."	Neophron	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Egyptian-Vulture.jpg	1 m	22.83-27.56 inches	Neognathae	Animalia	58-70 cm	30-37 yrs	Egyptian Vulture	Accipitriformes	Chordata	20-61 Thou	Endangered (EN)	Decreasing	Neophron percnopterus	34.18 miles/hr	Neornithes	Aegypiinae		Alcedini	Neoaves	55 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/egyptian-vulture-5.jpg	1.5-2 kg	52.91-70.55 oz	3.31-4.41 pounds	1.7 m
Aves						Accipitridae	"Hawks have excellent eyesight, 8 times better than human eyesight. They can locate prey from 100 feet away."	Buteo	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Ferruginous-Hawk.jpg	60-70 cm	19.69-25.98 inches	Neognathae	Animalia	50-66 cm	20 yrs	Ferruginous Hawk	Accipitriformes	Chordata	Unknown	Least Concern (LC)	Increasing	Buteo regalis	99.42 miles/hr	Neornithes	Halcyoninae	Licmetis	Alcedini	Neoaves	160 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/ferruginous-hawk-12.jpg	980-2030 g	34.57-71.61 oz	2.16-4.48 pounds	134-152 cm
Aves						Accipitridae	"Hooded vultures are typically unafraid of humans, frequently gathering around habitations. Sometimes locals call it the â€œgarbage collectorâ€."	Necrosyrtes	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Hooded-Vulture.jpg	1.5-1.8 m	24.41-28.35 inches	Neognathae	Animalia	62-72 cm	20-30 yrs	Hooded Vulture	Accipitriformes	Chordata	"1,97,000"	Critically Endangered (CR)	Decreasing	Necrosyrtes monachus	29.83 miles/hr	Neornithes	Cerylinae		Alcedini	Neoaves	48 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/kappengeier-hooded-vulture.jpg	1.5-2.6 kg	52.91-91.71 oz	3.31-5.73 pounds	155-165 cm
